host_since,host_response_time,host_response_rate percentage,host_is_superhost,host_total_listings_count,Number of Verication ways,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,calendar_updated_Daysago,number_of_reviews,lates_review within a month?,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,average_price
2014,Not Sure,96.40529571,f,1,5,t,t,South Boston,2127,Apartment,Entire home/apt,2,1,1,1,Real Bed,12,500,100,1,35,1,1200,7,f,93,10,9,9,10,9,9,f,strict_14_with_grace_period,f,f,1,1,0,0,0.14,175
2015,within a day,100,f,2,5,t,t,South End,2118,Apartment,Entire home/apt,4,1,2,2,Real Bed,6,300,75,4,25,2,750,28,f,87,9,9,9,9,10,9,f,flexible,f,f,2,2,0,0,0.54,169.27
2015,Not Sure,96.40529571,f,1,3,t,f,North End,2113,Apartment,Entire home/apt,4,1,2,2,Real Bed,11,204.28,25,1,25,2,1290,3,f,100,10,10,10,10,10,10,f,flexible,f,f,1,1,0,0,0.06,220
2015,Not Sure,96.40529571,f,1,4,t,t,Jamaica Plain,2130,Apartment,Private room,2,1,1,1,Real Bed,27,204.28,72.07,1,20,1,1230,2,f,80,8,6,9,9,8,8,t,flexible,f,f,1,0,1,0,0.04,26.42
2015,Not Sure,96.40529571,f,1,2,t,f,Beacon Hill,2114,Apartment,Entire home/apt,2,1,1,1,Real Bed,16,204.28,10,1,0,1,1350,1,f,93.03,9.58,9.43,9.73,9.67,9.58,9.26,f,flexible,f,f,1,1,0,0,0.02,130
2014,Not Sure,96.40529571,f,1,6,t,t,Roxbury,2119,House,Private room,2,1,1,1,Real Bed,11,204.28,20,1,15,1,1350,1,f,100,9.58,10,9.73,10,9.58,9.26,f,strict_14_with_grace_period,f,f,1,0,1,0,0.02,60
2015,Not Sure,96.40529571,f,1,8,t,t,Allston,2134,Apartment,Private room,1,1,1,1,Real Bed,14,204.28,72.07,1,0,1,1320,2,f,90,9,8,9,9,9,9,f,flexible,f,f,1,0,1,0,0.05,60
2014,within an hour,100,f,3,9,t,f,East Boston,2128,House,Private room,2,1.5,1,1,Real Bed,14,0,0,1,0,5,14,1,f,80,10,8,8,10,10,8,t,moderate,f,f,3,0,3,0,0.02,100
2013,Not Sure,96.40529571,f,2,5,t,t,Brighton,2135,Townhouse,Private room,2,2.5,1,1,Real Bed,14,204.28,72.07,1,0,3,1170,2,f,100,9,8,10,10,10,10,f,flexible,f,f,2,0,2,0,0.04,95
2014,Not Sure,96.40529571,f,1,5,t,t,Leather District,2111,Condominium,Entire home/apt,2,1,1,1,Real Bed,14,204.28,72.07,3,30,2,1290,2,f,100,10,10,10,10,9,10,f,moderate,f,f,1,1,0,0,0.04,179
